placeId,name,address,lat,lng,types,category
ChIJHf2pVZTxNIgR4QKTat1XtxI,The Colombian Spot,"University of Pittsburgh, 3533 Forbes Ave Floor 1, Pittsburgh, PA 15203, United States",40.4406022,-79.9585026,"restaurant,food,point_of_interest,establishment",restaurant
ChIJC5P7sxHyNIgR6IoKrVoD-QY,Pasha Mediterranean Restaurant,"808 Ivy St, Pittsburgh, PA 15232, United States",40.45131689999999,-79.93226,"restaurant,food,point_of_interest,establishment",restaurant
ChIJv-X66E3xNIgR4rFcM-iZBxQ,Melting Pot,"242 W Station Square Dr, Pittsburgh, PA 15219, United States",40.4342405,-80.0055715,"restaurant,food,point_of_interest,establishment",restaurant
ChIJoaEBy7LxNIgRW6AehuboyTg,gi-jin,"208 6th St, Pittsburgh, PA 15222, United States",40.4424546,-80.0021805,"restaurant,food,point_of_interest,establishment",restaurant
ChIJjVrbU-HxNIgRHH-_Qorimjc,Del Frisco's Double Eagle Steakhouse,"455 Fifth Ave, Pittsburgh, PA 15219, United States",40.4399601,-79.9969431,"restaurant,food,point_of_interest,establishment",restaurant
ChIJA8jyCVjxNIgRaTBDzIS-Fvg,Bakersfield Penn Ave,"940 Penn Ave, Pittsburgh, PA 15222, United States",40.4440518,-79.996629,"restaurant,meal_takeaway,bar,food,point_of_interest,establishment",restaurant
ChIJIT1oZvXzNIgRvLM0Pa2Ddq4,Raising Cane's Chicken Fingers,"3610 Fifth Ave, Pittsburgh, PA 15213, United States",40.4414476,-79.9586794,"restaurant,food,point_of_interest,establishment",restaurant
ChIJ9Q1kJUTyNIgRuvW9f60WFmI,APTEKA,"4606 Penn Ave, Pittsburgh, PA 15224, United States",40.4657654,-79.9492976,"restaurant,food,point_of_interest,establishment",restaurant
ChIJw6RcwCnyNIgR6Ls6fE_x9wI,Primanti Bros. Restaurant and Bar,"3803 Forbes Ave, Pittsburgh, PA 15213, United States",40.44176789999999,-79.9569149,"bar,restaurant,food,point_of_interest,establishment",restaurant
ChIJUQ8c81bxNIgRnioofxjN84M,fl.2,"510 Market St, Pittsburgh, PA 15222, United States",40.4413607,-80.0013851,"restaurant,food,point_of_interest,establishment",restaurant
ChIJFdDEVBjzNIgRzH8p4nOhS7U,EGE Mediterranean,"190 N Craig St, Pittsburgh, PA 15213, United States",40.4495745,-79.9504668,"restaurant,food,point_of_interest,establishment",restaurant
